Company | Open | High | Low | Close | Volume
--------------------------------------------------------------------------------
ENVIRO INFRA ENGINEERS L | 199.34 | 202.56 | 197.94 | 201.62 | 431301
KCK INDUSTRIES LTD | 29.8 | 29.8 | 29.8 | 29.8 | 325000
MARUTI SUZUKI INDIA LTD. | 16329.0 | 16475.0 | 16329.0 | 16414.0 | 360190
THE BYKE HOSPITALITY LTD | 51.39 | 51.39 | 49.61 | 50.39 | 46776
NATIONAL ALUMINIUM CO LTD | 279.5 | 281.45 | 276.7 | 278.5 | 5757096
MBL INFRASTRUCTURE LTD | 30.95 | 32.04 | 30.86 | 31.84 | 64402
TRANS & RECTI. LTD | 284.65 | 297.5 | 282.05 | 293.95 | 4610896
NANDAN DENIM LIMITED | 2.92 | 3.01 | 2.92 | 2.98 | 1449620
MUSIC BROADCAST LIMITED | 6.31 | 6.7 | 6.31 | 6.59 | 75195
GOKUL AGRO RESOURCES LTD | 186.89 | 190.86 | 186.71 | 189.61 | 187321
NAVKAR URBANSTRUCTURE LTD | 1.34 | 1.39 | 1.28 | 1.28 | 3166326
NINTEC SYSTEMS LIMITED | 413.05 | 413.05 | 399.1 | 407.05 | 2100
LEMON TREE HOTELS LTD | 159.35 | 160.4 | 158.84 | 159.83 | 904603
PRIZOR VIZTECH LIMITED | 299.95 | 300.9 | 285.0 | 292.1 | 19200
VL E GOV AND IT SOL LTD | 20.31 | 21.17 | 20.31 | 21.03 | 138947
BRAND CONCEPTS LIMITED | 305.0 | 317.0 | 296.25 | 304.75 | 3034
AMBANI ORGOCHEM LIMITED | 105.0 | 105.0 | 105.0 | 105.0 | 2000
SG FINSERVE LIMITED | 408.45 | 413.9 | 402.0 | 406.9 | 132916
MANAPPURAM FINANCE LTD | 287.45 | 294.0 | 284.75 | 292.65 | 3476859
JOCIL LIMITED | 145.05 | 148.04 | 143.5 | 143.87 | 1496
APRAMEYA ENGINEERING LTD | 321.0 | 321.0 | 315.5 | 315.5 | 2500
SARTHAK METALS LIMITED | 92.2 | 93.0 | 86.0 | 88.51 | 25159
VINYL CHEMICALS (I) LTD. | 242.5 | 247.05 | 241.13 | 245.19 | 6905
SEJAL GLASS LIMITED | 858.95 | 860.0 | 825.1 | 837.4 | 2815
IOL CHEM AND PHARMA LTD | 80.0 | 83.0 | 79.93 | 82.31 | 727142
CENTRUM CAPITAL LIMITED | 28.02 | 29.0 | 28.02 | 28.45 | 188324
ASPINWALL & CO LTD | 228.79 | 234.75 | 218.66 | 227.08 | 10733
SHARE IND. SECURITIES LTD | 173.61 | 173.94 | 168.39 | 169.42 | 189359
VERTOZ LIMITED | 72.75 | 75.5 | 72.65 | 74.76 | 194813
BOMBAY DYEING & MFG. CO L | 129.02 | 132.18 | 129.02 | 131.36 | 753476
STL GLOBAL LIMITED | 12.8 | 12.99 | 12.6 | 12.76 | 13010
INGERSOLL-RAND INDIA LTD | 3405.0 | 3442.0 | 3374.7 | 3414.6 | 12924
POPULAR VEHICLES N SER L | 122.98 | 122.98 | 119.9 | 121.17 | 29763
JAIN IRRIGATION SYSTEMS | 39.3 | 40.6 | 39.3 | 40.1 | 1591189
CAREER POINT EDUTECH LTD | 262.0 | 269.7 | 260.65 | 262.0 | 10952
SICAL LOGISTICS LIMITED | 99.5 | 103.0 | 98.0 | 99.91 | 2642
BANSWARA SYNTEX LIMITED | 113.43 | 114.0 | 112.03 | 113.01 | 3292
PRIME CABLE INDUSTRIES L | 81.4 | 90.0 | 81.4 | 89.75 | 227200
HINDCON CHEMICALS LIMITED | 28.71 | 28.74 | 26.1 | 27.36 | 52438
OWAIS METAL & MINERAL | 273.4 | 276.8 | 261.0 | 271.6 | 20700
FIEM INDUSTRIES LIMITED | 2350.0 | 2427.0 | 2325.4 | 2408.6 | 146572
SHEELA FOAM LIMITED | 570.3 | 578.8 | 570.0 | 576.1 | 37761
PLATINUM INDUSTRIES LTD | 245.0 | 258.0 | 245.0 | 254.9 | 177156
MAHINDRA LOGISTIC LIMITED | 313.0 | 315.9 | 312.45 | 315.05 | 30912
AMBIKA COTTON MILL LTD. | 1263.3 | 1274.4 | 1254.1 | 1268.2 | 2510
EPPELTONE ENGINEERS LTD | 204.75 | 209.7 | 204.0 | 204.0 | 10000
MUNJAL AUTO IND. LTD. | 78.0 | 79.12 | 77.37 | 78.68 | 61596
G R INFRAPROJECTS LIMITED | 1019.8 | 1035.0 | 1005.0 | 1011.4 | 78773
SIEMENS ENERGY INDIA LTD | 2860.0 | 2875.0 | 2702.0 | 2747.0 | 4395833
TATVA CHIN PHARM CHEM LTD | 1394.0 | 1408.3 | 1380.0 | 1400.0 | 33149
CHALET HOTELS LIMITED | 860.0 | 876.6 | 856.35 | 871.1 | 54251
INDOWIND ENERGY LTD | 13.8 | 15.6 | 13.8 | 14.65 | 3011479
